Province,Year,GHI_kWh_m2_day,GHI_Annual_kWh_m2_year,T2M,RH2M,WS2M,PRECTOT
Hải Phòng,2020.0,13.998333333333337,5109.391666666666,23.439166666666665,84.69500000000001,2.553333333333333,
Hải Phòng,2021.0,14.4475,5273.337500000001,23.425,83.57916666666667,2.3925,
Hải Phòng,2022.0,14.0325,5121.8625,22.9725,83.86916666666667,2.3875,
Hải Phòng,2023.0,14.165833333333332,5170.529166666666,23.7625,83.50166666666667,2.3216666666666668,
Hải Phòng,2024.0,13.4475,4908.337500000001,23.9125,83.8275,2.4483333333333333,
Nha Trang,2015.0,19.805,7228.825,27.10833333333333,80.34666666666666,4.501666666666666,
Nha Trang,2016.0,18.530833333333334,6763.754166666667,27.065,83.61583333333333,4.14,
Nha Trang,2017.0,17.7625,6483.3125,26.79833333333333,84.72,4.325833333333333,
Nha Trang,2018.0,18.391666666666666,6712.958333333333,26.82166666666667,82.69166666666668,4.3966666666666665,
Nha Trang,2019.0,19.519166666666667,7124.495833333333,27.223333333333333,81.47166666666666,4.371666666666667,
Nha Trang,2019.5,18.553,6771.844999999999,27.065,82.907,4.354,
Nha Trang,2020.0,18.9025,6899.412499999999,27.13416666666667,81.875,4.4625,
Nha Trang,2021.0,18.1875,6638.4375,26.72083333333333,83.29,4.505833333333333,
Nha Trang,2022.0,17.69666666666667,6459.283333333333,26.94083333333333,83.57833333333333,4.355,
Nha Trang,2023.0,18.5575,6773.4875,27.175,84.34,4.283333333333333,
Nha Trang,2024.0,18.230833333333333,6654.254166666667,27.566666666666663,83.08333333333333,4.23,
Ninh Thuận,2015.0,19.775139385430972,7217.925875682305,24.763488394255237,79.17739052814227,0.8886910383782086,
Ninh Thuận,2016.0,17.564616345226916,6411.084966007825,22.839887010322432,79.78459641981256,0.8573039679138316,
Ninh Thuận,2017.0,18.631989241170064,6800.6760730270735,23.009109453713894,83.82456555417224,0.8484966674894192,
Ninh Thuận,2018.0,20.046740875522765,7317.060419565809,22.06661598280455,83.23528240435341,0.8270698700237591,
Ninh Thuận,2019.0,19.034789938958152,6947.698327719725,22.776709353691466,85.93637017229727,0.7952028152925809,
Ninh Thuận,2019.5,19.418215642049212,7087.648709347963,22.34630824095691,83.74055579514639,0.7983542970939888,
Ninh Thuận,2020.0,18.967249105685557,6923.045923575229,23.600175088387253,81.93534393740876,0.7923368942362085,
Ninh Thuận,2021.0,19.245848374236704,7024.734656596397,21.670128557875756,88.55520493045259,0.8053453513515779,
Ninh Thuận,2022.0,16.87079508846111,6157.8402072883055,23.364468982082695,93.62855998056506,0.7895662965569333,
Ninh Thuận,2023.0,18.084541124976173,6600.857510616303,22.347959606542783,89.76117793709848,0.8014699729882717,
Ninh Thuận,2024.0,17.421922654512926,6359.001768897218,23.44095275616634,81.79036951841752,0.8373768119085708,
Quảng Ninh,2015.0,13.141666666666666,4796.708333333333,24.251666666666665,84.53166666666667,3.744166666666666,
Quảng Ninh,2016.0,13.5425,4943.0125,23.709166666666665,84.01,3.72,
Quảng Ninh,2017.0,12.539166666666668,4576.795833333334,23.874166666666667,83.74333333333334,3.8216666666666654,
Quảng Ninh,2018.0,13.029166666666669,4755.645833333333,23.809166666666663,83.38833333333334,3.6183333333333336,
Quảng Ninh,2019.0,12.875833333333333,4699.679166666667,24.58333333333333,84.26416666666667,3.630833333333333,
Quảng Ninh,2019.5,13.146,4798.29,24.118,83.774,3.788,
Quảng Ninh,2020.0,13.153333333333334,4800.966666666666,24.125,84.31916666666667,4.0625,
Quảng Ninh,2021.0,13.64,4978.599999999999,24.176666666666662,82.83083333333333,3.763333333333333,
Quảng Ninh,2022.0,13.4925,4924.7625,23.6925,83.17833333333333,3.8508333333333336,
Quảng Ninh,2023.0,13.190833333333332,4814.654166666666,24.275,83.89916666666666,3.7475,
Quảng Ninh,2024.0,12.716666666666669,4641.583333333333,24.44083333333333,83.66916666666667,3.8975,
TP.HCM,2015.0,19.77083333333333,7216.354166666667,28.3875,70.8475,2.2258333333333336,
TP.HCM,2016.0,18.615,6794.474999999999,28.2775,74.62,2.2641666666666667,
TP.HCM,2017.0,18.089166666666667,6602.545833333334,27.5625,78.05416666666666,1.9633333333333327,
TP.HCM,2018.0,18.481666666666666,6745.808333333333,27.6825,76.97333333333334,2.0691666666666664,
TP.HCM,2019.0,18.961666666666662,6921.008333333334,27.7,77.185,2.125833333333333,
TP.HCM,2019.5,18.524,6761.26,27.755000000000003,77.36,2.003,
TP.HCM,2020.0,18.7925,6859.2625,28.03916666666667,75.72,1.9683333333333333,
TP.HCM,2021.0,18.3925,6713.2625,26.905,81.45,1.8591666666666664,
TP.HCM,2022.0,17.93916666666667,6547.795833333334,27.0275,81.77666666666667,1.7308333333333332,
TP.HCM,2023.0,18.055833333333336,6590.379166666667,27.721666666666668,78.8175,1.860833333333333,
TP.HCM,2024.0,18.299166666666668,6679.195833333332,28.29083333333333,77.31833333333333,1.961666666666667,
Điện Biên,2015.0,15.686666666666667,5725.633333333334,21.421666666666667,76.92583333333333,0.1566666666666666,
